3;Новости Клуба;181
4;ЧаВо (FAQ);181
8;Temp, Архив;0
9;NNM-Club;0
10;Форум;0
14;Видео;0
16;Музыка;0
17;Игры;0
18;Книги и Обучающие материалы;0
20;Все о кино;918
21;Программы, Операционные системы;0
21;Ищу Фильмы, Сериалы, Телепередачи;918
22;Пользователи NNM-Club рекомендуют!;918
23;Документалистика, Телепередачи, Спорт, Юмор;0
23;Форум Аниме;24
24;Аниме, Манга;0
24;Софт и все вокруг;21
25;ОС Windows - обсуждение;24
26;Всё для детей и родителей;0
26;Варезматик;24
27;Сериалы;0
27;Фриматик;24
28;КПК и Мобильные устройства;0
29;Клубные таланты;0
29;Для открывших Интернет;752
30;Всё для Apple;0
30;Вебмастеру;752
31;Мультимедиа, Дизайн, Графика;0
36;Форум Игры;17
37;Ищу Игры;36
38;Обсуждение Игр;36
40;Предложения и замечания;181
42;Автомобилисты здесь!;205
43;Читаем вместе;123
44;Юмор;205
45;Дискуссионный клуб;205
47;Техподдержка форум-трекера;181
48;Региональные встречи;205
53;Прикладное ПО;24
54;Форум Музыка;16
55;Ищу Музыку;54
56;Обсуждение Музыки;54
59;Обсуждение браузеров;24
61;Предлагаю Фильмы, Сериалы, Телепередачи;918
65;Авторское бесплатное ПО;24
66;Розыск и предложение ПО и ОС;24
70;Новинки мирового проката;918
71;Флейм;205
72;Розыск;752
76;ОС *NIX - обсуждение;24
77;Барахолка;752
90;Архив торрентов;8
91;Архив Видео;90
92;Архив Музыки;90
93;Архив Игр;90
94;Архив Книг и обучающих материалов;90
95;Архив Программ;90
107;Обсуждение Аниме и Манги;23
109;ПО для P2P-сетей;24
118;Предлагаю Музыку;54
123;О книгах и не только;18
124;Ищу Книги;123
125;Предлагаю Книги;123
129;Предлагаю Игры;36
144;Новости;205
166;Растровый клипарт (элементы);1102
169;Архив Аниме;90
180;Архив Медиа-Диз-Графика;90
181;Информация и поддержка;9
184;Архив КПК и Мобильных устройств;90
205;Поговорим;10
208;КПК и Мобильные устройства;825
209;Обсуждение (КПК и Мобильные устройства);825
210;Поиск и предложение;825
212;ВидеоFAQ;918
214;Обработка Аудио & Видео;918
215;ТехПомощь по Видео;918
216;Горячие новинки;14
217;Экранки;216
218;Зарубежные Новинки (HD*Rip/LQ, DVDRip);216
219;Новинки (DVD);216
220;Отечественное кино;14
221;Отечественные Фильмы (HD*Rip/LQ, DVDRip, SATRip, VHSRip);220
222;Отечественные Фильмы (DVD);220
224;Зарубежное кино;14
225;Зарубежные Фильмы (HD*Rip/LQ, DVDRip, SATRip, VHSRip);224
226;Зарубежные Фильмы (DVD);224
227;Зарубежные Фильмы (HD, UHD-LQ);224
228;Фильмы в оригинале;224
229;Мультфильмы;26
230;Отечественные Мультфильмы (HD*Rip/LQ, DVDRip, SATRip, VHSRip);229
231;Зарубежные Мультфильмы (HD*Rip/LQ, DVDRip, SATRip, VHSRip);229
232;Зарубежные Мультсериалы;229
254;Артхаус;14
255;Интеллектуальное кино;254
256;Театр и Музыкальное видео;14
257;Музыкальные клипы;256
258;Концерты;256
264;Остальное;14
265;Звуковые дорожки и сабы;264
266;Трейлеры;264
267;Футажи;1102
268;Action/Arcade/Platformer (Casual);410
270;Отечественные Новинки (HD*Rip/LQ, DVDRip);216
271;Опера, Балет, Мюзиклы;256
272;Игровое видео;264
299;Автомобили;18
300;Автомобильные программы и мультимедийные материалы;299
301;Автомобильная литература;299
303;Архив Авто;90
313;HD Audio и Многоканальная Музыка;16
318;Классика кино и Старые фильмы до 90-х;14
319;Зарубежная Классика (HD*Rip/LQ, DVDRip, SATRip, VHSRip);318
320;Отечественная Классика (HD*Rip/LQ, DVDRip, SATRip, VHSRip);318
321;Авторское кино;254
322;Rock, Alternative, Punk, Metal;16
323;Rap, Hip-hop, RnB, Reggae;16
324;Electronic;16
325;Pop;16
326;Jazz, Blues, Soul;16
327;Неофициальные сборники;16
328;Шансон, Авторская и Военная песня;16
329;East Asian Music;16
330;Классика;16
331;Other Styles;16
332;Русский рок;322
333;Rock;322
334;Metal;322
336;Alternative, Punk;322
337;Hard Rock (Lossless);322
338;Hard Rock;322
339;Rap, Hip-hop зарубежный;323
340;Rap, Hip-hop отечественный;323
341;RnB, Reggae;323
344;Drum'n'Bass, Jungle, Breaks, Breakbeat, Dubstep;324
345;House;324
346;Trance;324
347;Easy listening;324
348;Psychedelic, psytrance, fullon;324
349;Techno, Electro, Minimal;324
352;Отечественная поп-музыка;325
353;Зарубежная поп-музыка;325
354;Pop (сборники);327
358;Jazz;326
359;Jazz (Lossless);326
360;OST;331
361;OST (Lossless);331
363;Русский Шансон;328
364;Русский Шансон (Lossless);328
365;Asian Pop;329
366;Asian Rock, Metal;329
367;Other Asian;329
368;Asian Traditional, Ethnic;329
369;Asian Traditional, Ethnic (Lossless);329
370;Полные собрания сочинений;330
371;Вокал;330
372;Фортепиано;330
373;Камерная;330
374;Оркестровая;330
375;Концерты;330
376;Классика (сборники);330
378;New Age/Meditative/Relax;331
379;Folk;331
380;Other (Lossless);331
382;Консольные Игры;17
383;PSP;382
384;Psx to PSP;382
385;PS1;382
386;PS2;382
387;Xbox 360;382
388;Wii, GameCube;382
389;Ромы;382
390;Тех. раздел Консолей;382
391;Другие приставки;382
398;Ноты;492
400;Архив Юмора;90
401;Азартные игры;752
410;Win Игры;17
411;Горячие новинки Игр;410
412;Action (FPS);410
413;RPG;410
414;Strategy (RTS/TBS/Grand);410
415;Adventure/Quest;410
416;Simulation (Flight/Space);410
417;*NIX Игры;17
418;Win Старые Игры;17
428;Online (MMO);410
429;DTS-Audio;313
432;Научная и техническая литература;18
433;Компьютерная литература;18
434;Художественная литература;18
435;Религии и культы;18
436;Обучающие аудиоматериалы;18
437;Обучающие видеоматериалы;18
438;Художественные аудиокниги и публицистика;18
439;Мультимедийные материалы;18
440;Нормативная документация;432
441;Техническая литература;432
442;Точные и естественные науки;432
443;Медицина;432
444;Научно-популярная литература;432
445;Веб-дизайн;433
447;Программирование;433
449;Классика, Проза, Поэзия;434
451;Фантастика, Фэнтези;434
452;Исторические книги;434
453;Детективы;434
